Product,Current Factory,Recommended Factory,Current Lead Time,Predicted Lead Time,Shipping Distance (km),Lead Time Improvement,Profit Margin,Optimization Score
Everlasting Gobstopper,Secret Factory,Sugar Shack,1312.2183649280366,1308.5476003550912,2210.204938827418,3.6707645729454725,0.8,1.8804177560017998
Fizzy Lifting Drinks,Sugar Shack,Secret Factory,1264.852131602758,1202.405573400716,243.13732344549922,62.44655820204184,0.6,37.50930745653601
Fun Dip,Sugar Shack,Lot's O' Nuts,1259.0840894192875,1229.2279746878958,2339.110761545341,29.8561147313917,0.4,17.50584668652595
Hair Toffee,The Other Factory,Lot's O' Nuts,1308.4210125340423,1122.5255512717513,89.99943202803145,185.89546126229106,0.7777777777777778,111.6359435376357
Kazookles,The Other Factory,The Other Factory,1129.2459558218095,1129.2459558218095,446.95357159996905,0.0,0.0769230769230769,-0.07785225278153228
Laffy Taffy,Sugar Shack,The Other Factory,1212.6922209278648,1202.9271646168133,940.3884752441081,9.765056311051467,0.6231155778894473,5.7644234282654745
Lickable Wallpaper,Secret Factory,Secret Factory,1194.4333743629459,1194.4333743629459,223.49181613153266,0.0,0.5,0.030301636773693463
Nerds,Sugar Shack,Secret Factory,1443.7710344620525,1402.4748329949562,1308.3919432650698,41.29620146709635,0.4666666666666666,24.586042491604797
SweeTARTS,Sugar Shack,Secret Factory,1372.0556468101865,1326.3028535850544,1264.648578843707,45.75279322513211,0.4666666666666667,27.268746219310525
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,1302.7382285033582,1295.0103935646407,1338.2582828792056,7.7278349387174785,0.6666666666666666,4.469049306654645
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,1311.9731113388036,1305.498078059872,1591.5183352214208,6.475033278931733,0.6492307692307692,3.6641009156993705
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,1320.1433812089779,1302.5280859108393,1244.9236551407296,17.615295298138562,0.7134670487106016,10.427212505161581
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Wicked Choccy's,1302.5280859108393,1302.5280859108393,1244.9236551407296,0.0,0.6533333333333334,-0.1509847310281459
Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,1311.5454244036212,1296.3482975874972,1244.9236551407296,15.197126816123955,0.6944444444444444,8.973458025312892
Wonka Gum,Secret Factory,Wicked Choccy's,1325.5155793639112,1243.9729865775003,824.9904193186926,81.54259278641098,0.52,48.838557587982855
